DefId,Syn_Count,Hir_Count,Def_Count,Total_Count
tracing_core[5cb0]::callsite::Callsite::metadata,216,1533,12705,14454
tracing_core[5cb0]::metadata::{impl#6}::DEBUG,142,2337,10686,13165
core[4720]::cmp::PartialOrd::le,167,1225,9847,11239
core[4720]::fmt::rt::{impl#0}::new_display,49,529,8556,9134
tracing_core[5cb0]::metadata::{impl#6}::WARN,133,791,7574,8498
core[4720]::fmt::rt::{impl#1}::new_v1,71,597,7772,8440
tracing_core[5cb0]::metadata::{impl#0}::fields,126,858,7408,8392
core[4720]::iter::traits::iterator::Iterator::next,235,475,6588,7298
core[4720]::ops::control_flow::ControlFlow::Continue,458,102,6313,6873
core[4720]::ops::control_flow::ControlFlow::Break,458,102,6313,6873
core[4720]::ops::try_trait::FromResidual::from_residual,458,102,6313,6873
core[4720]::ops::try_trait::Try::branch,458,102,6313,6873
core[4720]::iter::traits::collect::IntoIterator::into_iter,242,493,6120,6855
tracing_core[5cb0]::metadata::{impl#6}::INFO,100,727,5547,6374
tracing_core[5cb0]::metadata::{impl#6}::ERROR,90,714,5410,6214
tracing_core[5cb0]::metadata::{impl#6}::TRACE,91,314,5710,6115
core[4720]::option::Option::None,225,455,5306,5986
core[4720]::option::Option::Some,225,455,5306,5986
core[4720]::option::{impl#0}::expect,82,576,4471,5129
core[4720]::cmp::PartialEq::eq,41,143,4758,4942
proc_macro2[7ed2]::{impl#0}::new,35,0,4825,4860
tracing_core[5cb0]::field::{impl#48}::new,40,803,3940,4783
tracing_core[5cb0]::metadata::{impl#0}::new,40,803,3939,4782
tracing_core[5cb0]::callsite::{impl#0}::new,42,807,3932,4781
core[4720]::convert::Into::into,21,74,4287,4382
tracing_core[5cb0]::field::{impl#48}::value_set,64,430,3726,4220
tracing_core[5cb0]::field::{impl#48}::iter,62,428,3682,4172
tracing[3c75]::__macro_support::{impl#0}::as_str,35,763,2871,3669
tracing[3c75]::__macro_support::{impl#0}::new,35,760,2874,3669
core[4720]::ops::index::Index::index,86,115,3349,3550
tracing_core[5cb0]::metadata::{impl#2}::EVENT,24,556,2741,3321
core[4720]::ops::function::Fn::call,49,402,2301,2752
log[e6a5]::Log::enabled,38,306,2272,2616
log[e6a5]::{impl#16}::level,38,306,2272,2616
log[e6a5]::{impl#16}::build,38,306,2272,2616
log[e6a5]::{impl#16}::target,38,306,2272,2616
tracing_core[5cb0]::metadata::{impl#0}::target,38,306,2272,2616
log[e6a5]::{impl#15}::builder,38,306,2272,2616
