🎯 Simple BFS from Main Routine

Starting BFS from: static META

Order | Emoji | Name                          | Calls
------|-------|-------------------------------|-------
    0 | 👑     | static META                   | ❓ ❓ ❓
    1 | ❓     | "event compiler/rustc_infer/s | 
    2 | ❓     | "rustc_infer::infer::canonica | 
    3 | ❓     | "compiler/rustc_infer/src/inf | 
    4 | ❓     | 168                           | 
    5 | ❓     | "message"                     | 
    6 | ❓     | "event compiler/rustc_infer/s | 
    7 | ❓     | 357                           | 
    8 | ❓     | "event compiler/rustc_infer/s | 
    9 | ❓     | 361                           | 
   10 | ❓     | "event compiler/rustc_infer/s | 
   11 | ❓     | 461                           | 
   12 | ❓     | "event compiler/rustc_infer/s | 
   13 | ❓     | 464                           | 
   14 | ❓     | "make_canonicalized_query_res | 
   15 | ❓     | "rustc_infer::infer::canonica | 
   16 | ❓     | "compiler/rustc_infer/src/inf | 
   17 | ❓     | 52                            | 
   18 | ❓     | "event compiler/rustc_infer/s | 
   19 | ❓     | 64                            | 
   20 | ❓     | "event compiler/rustc_infer/s | 
   21 | ❓     | 66                            | 
   22 | ❓     | "make_query_response"         | 
   23 | ❓     | 99                            | 
   24 | ❓     | "inference_vars"              | 
   25 | ❓     | "answer"                      | 
   26 | ❓     | "event compiler/rustc_infer/s | 
   27 | ❓     | 119                           | 
   28 | ❓     | "region_obligations"          | 
   29 | ❓     | "event compiler/rustc_infer/s | 
   30 | ❓     | 127                           | 
   31 | ❓     | "region_constraints"          | 
   32 | ❓     | "event compiler/rustc_infer/s | 
   33 | ❓     | 342                           | 
   34 | ❓     | "query_response_instantiation | 
   35 | ❓     | 377                           | 
   36 | ❓     | "cause"                       | 
   37 | ❓     | "original_values"             | 
   38 | ❓     | "query_response"              | 
   39 | ❓     | "event compiler/rustc_infer/s | 
   40 | ❓     | 486                           | 
   41 | ❓     | "a"                           | 
   42 | ❓     | "b"                           | 
   43 | ❓     | "event compiler/rustc_infer/s | 
   44 | ❓     | 592                           | 
   45 | ❓     | "constraints"                 | 
   46 | ❓     | "event compiler/rustc_infer/s | 
   47 | ❓     | "rustc_infer::infer::free_reg | 
   48 | ❓     | "compiler/rustc_infer/src/inf | 
   49 | ❓     | 90                            | 
   50 | ❓     | "event compiler/rustc_infer/s | 
   51 | ❓     | 101                           | 
   52 | ❓     | "resolve"                     | 
   53 | ❓     | "rustc_infer::infer::lexical_ | 
   54 | ❓     | "compiler/rustc_infer/src/inf | 
   55 | ❓     | 31                            | 
   56 | ❓     | "dump_constraints"            | 
   57 | ❓     | 172                           | 
   58 | ❓     | "event compiler/rustc_infer/s | 
   59 | ❓     | 175                           | 
   60 | ❓     | "event compiler/rustc_infer/s | 
   61 | ❓     | 214                           | 
   62 | ❓     | "event compiler/rustc_infer/s | 
   63 | ❓     | 234                           | 
   64 | ❓     | "event compiler/rustc_infer/s | 
   65 | ❓     | 314                           | 
   66 | ❓     | "event compiler/rustc_infer/s | 
   67 | ❓     | 333                           | 
   68 | ❓     | "event compiler/rustc_infer/s | 
   69 | ❓     | 364                           | 
   70 | ❓     | "sub_concrete_regions"        | 
   71 | ❓     | 455                           | 
   72 | ❓     | "lub_concrete_regions"        | 
   73 | ❓     | 485                           | 
   74 | ❓     | "event compiler/rustc_infer/s | 
   75 | ❓     | "return"                      | 
   76 | ❓     | "collect_errors"              | 
   77 | ❓     | 530                           | 
   78 | ❓     | "event compiler/rustc_infer/s | 
   79 | ❓     | 537                           | 
   80 | ❓     | "c"                           | 
   81 | ❓     | "origin"                      | 
   82 | ❓     | "event compiler/rustc_infer/s | 
   83 | ❓     | 548                           | 
   84 | ❓     | "event compiler/rustc_infer/s | 
   85 | ❓     | 563                           | 
   86 | ❓     | "event compiler/rustc_infer/s | 
   87 | ❓     | 573                           | 
   88 | ❓     | "event compiler/rustc_infer/s | 
   89 | ❓     | 584                           | 
   90 | ❓     | "event compiler/rustc_infer/s | 
   91 | ❓     | 593                           | 
   92 | ❓     | "event compiler/rustc_infer/s | 
   93 | ❓     | 614                           | 
   94 | ❓     | "event compiler/rustc_infer/s | 
   95 | ❓     | 759                           | 
   96 | ❓     | "event compiler/rustc_infer/s | 
   97 | ❓     | 864                           | 
   98 | ❓     | "event compiler/rustc_infer/s | 
   99 | ❓     | 883                           | 
  100 | ❓     | "event compiler/rustc_infer/s | 
  101 | ❓     | 1010                          | 
  102 | ❓     | "remove"                      | 
  103 | ❓     | "rustc_infer::infer::opaque_t | 
  104 | ❓     | "compiler/rustc_infer/src/inf | 
  105 | ❓     | 34                            | 
  106 | ❓     | "self"                        | 
  107 | ❓     | "key"                         | 
  108 | ❓     | "prev"                        | 
  109 | ❓     | "register"                    | 
  110 | ❓     | 145                           | 
  111 | ❓     | "hidden_type"                 | 
  112 | ❓     | "register_hidden_type"        | 
  113 | ❓     | "rustc_infer::infer::opaque_t | 
  114 | ❓     | "compiler/rustc_infer/src/inf | 
  115 | ❓     | "opaque_type_key"             | 
  116 | ❓     | "span"                        | 
  117 | ❓     | "param_env"                   | 
  118 | ❓     | "hidden_ty"                   | 
  119 | ❓     | "event compiler/rustc_infer/s | 
  120 | ❓     | 354                           | 
  121 | ❓     | "predicate"                   | 
  122 | ❓     | "event compiler/rustc_infer/s | 
  123 | ❓     | 368                           | 
  124 | ❓     | "event compiler/rustc_infer/s | 
  125 | ❓     | "rustc_infer::infer::outlives | 
  126 | ❓     | "compiler/rustc_infer/src/inf | 
  127 | ❓     | "register_type_outlives_const | 
  128 | ❓     | "rustc_infer::infer::outlives | 
  129 | ❓     | "compiler/rustc_infer/src/inf | 
  130 | ❓     | 118                           | 
  131 | ❓     | "obligation"                  | 
  132 | ❓     | "event compiler/rustc_infer/s | 
  133 | ❓     | 142                           | 
  134 | ❓     | "sup_type"                    | 
  135 | ❓     | "sub_region"                  | 
  136 | ❓     | "process_registered_region_ob | 
  137 | ❓     | 193                           | 
  138 | ❓     | "event compiler/rustc_infer/s | 
  139 | ❓     | 242                           | 
  140 | ❓     | "type_must_outlive"           | 
  141 | ❓     | 326                           | 
  142 | ❓     | "ty"                          | 
  143 | ❓     | "region"                      | 
  144 | ❓     | "category"                    | 
  145 | ❓     | "param_ty_must_outlive"       | 
  146 | ❓     | "param_ty"                    | 
  147 | ❓     | "placeholder_ty_must_outlive" | 
  148 | ❓     | 388                           | 
  149 | ❓     | "placeholder_ty"              | 
  150 | ❓     | "alias_ty_must_outlive"       | 
  151 | ❓     | 406                           | 
  152 | ❓     | "alias_ty"                    | 
  153 | ❓     | "event compiler/rustc_infer/s | 
  154 | ❓     | 445                           | 
  155 | ❓     | "trait_bounds"                | 
  156 | ❓     | "event compiler/rustc_infer/s | 
  157 | ❓     | 451                           | 
  158 | ❓     | "approx_env_bounds"           | 
  159 | ❓     | "event compiler/rustc_infer/s | 
  160 | ❓     | 472                           | 
  161 | ❓     | "event compiler/rustc_infer/s | 
  162 | ❓     | 503                           | 
  163 | ❓     | "unique_bound"                | 
  164 | ❓     | "event compiler/rustc_infer/s | 
  165 | ❓     | 504                           | 
  166 | ❓     | "event compiler/rustc_infer/s | 
  167 | ❓     | 516                           | 
  168 | ❓     | "args_must_outlive"           | 
  169 | ❓     | 520                           | 
  170 | ❓     | "args"                        | 
  171 | ❓     | "opt_variances"               | 
  172 | ❓     | "extract_verify_if_eq"        | 
  173 | ❓     | "rustc_infer::infer::outlives | 
  174 | ❓     | "compiler/rustc_infer/src/inf | 
  175 | ❓     | 36                            | 
  176 | ❓     | "verify_if_eq_b"              | 
  177 | ❓     | "test_ty"                     | 
  178 | ❓     | "can_match_erased_ty"         | 
  179 | ❓     | 72                            | 
  180 | ❓     | "outlives_predicate"          | 
  181 | ❓     | "erased_ty"                   | 
  182 | ❓     | "bind"                        | 
  183 | ❓     | 113                           | 
  184 | ❓     | "br"                          | 
  185 | ❓     | "value"                       | 
  186 | ❓     | "relate_with_variance"        | 
  187 | ❓     | 140                           | 
  188 | ❓     | "variance"                    | 
  189 | ❓     | "regions"                     | 
  190 | ❓     | 153                           | 
  191 | ❓     | "pattern"                     | 
  192 | ❓     | "tys"                         | 
  193 | ❓     | 170                           | 
  194 | ❓     | "consts"                      | 
  195 | ❓     | 183                           | 
  196 | ❓     | "binders"                     | 
  197 | ❓     | 196                           | 
  198 | ❓     | "param_or_placeholder_bound"  | 
  199 | ❓     | "rustc_infer::infer::outlives | 
  200 | ❓     | "compiler/rustc_infer/src/inf | 
