ngram,size,frequency,monster_correlation,avg_phi_score,importance_score,top_class
P2,2,982,0.7000,0.4250,687.4000,NonMonster
;0,2,949,0.7121,0.1323,675.8030,NonMonster
P2-,3,982,0.6444,0.4250,632.8444,NonMonster
-P2,3,982,0.6444,0.4250,632.8444,NonMonster
-P,2,1000,0.6167,0.4239,616.6667,NonMonster
-P2-,4,982,0.6167,0.4250,605.5667,NonMonster
2-,2,982,0.6167,0.4250,605.5667,NonMonster
M-P2,4,982,0.5418,0.4250,532.0229,NonMonster
M-P2-,5,982,0.5401,0.4250,530.3650,NonMonster
P2-[,4,982,0.5383,0.4250,528.5894,NonMonster
-P2-[,5,982,0.5373,0.4250,527.6182,NonMonster
M-P,3,1000,0.4890,0.4239,489.0332,NonMonster
M-P2-[,6,982,0.4867,0.4250,477.9415,NonMonster
2-[,3,982,0.4844,0.4250,475.6525,NonMonster
0;,2,560,0.7121,0.3958,398.7879,NonMonster
0],2,657,0.5995,0.0814,393.8468,NonMonster
M-,2,1000,0.3835,0.4239,383.5498,NonMonster
-[,2,1000,0.3766,0.4239,376.5568,NonMonster
NM-P2,5,593,0.6155,0.0017,364.9744,NonMonster
NM-P,4,605,0.5943,0.0016,359.5751,NonMonster
;0],3,602,0.5966,0.0000,359.1600,NonMonster
NM-P2-,6,593,0.6018,0.0017,356.8565,NonMonster
NM,2,605,0.5720,0.0016,346.0668,NonMonster
NM-,3,605,0.5591,0.0016,338.2668,NonMonster
NM-P2-[,7,593,0.5472,0.0017,324.4955,NonMonster
0;0,3,361,0.7525,0.1491,271.6616,NonMonster
;0;,3,347,0.6717,0.3618,233.0859,NonMonster
;1,2,556,0.3669,0.7372,203.9870,ModerateMonster
;0;0,4,225,0.7121,0.0000,160.2273,NonMonster
0;0],4,241,0.6558,0.0000,158.0458,NonMonster
;0;0],5,225,0.6428,0.0000,144.6334,NonMonster
1;,2,371,0.3669,0.2838,136.1136,NonMonster
-P2-[1,6,288,0.4716,0.3832,135.8066,NonMonster
2;,2,210,0.6455,0.4436,135.5455,NonMonster
P2-[1,5,288,0.4592,0.3832,132.2479,NonMonster
M-P2-[1,7,288,0.4376,0.3832,126.0235,NonMonster
1;0,3,227,0.5224,0.0818,118.5772,NonMonster
2-[1,4,288,0.3990,0.3832,114.9099,NonMonster
P2-[2,5,177,0.5706,0.4187,101.0002,NonMonster
-P2-[2,6,177,0.5644,0.4187,99.9002,NonMonster
MM-P2-,6,201,0.4890,1.0992,98.2957,ModerateMonster
MM-P2,5,201,0.4802,1.0992,96.5148,ModerateMonster
2-[2,4,177,0.5383,0.4187,95.2753,NonMonster
NM-P2-[1,8,186,0.4967,0.0000,92.3798,NonMonster
M-P2-[2,7,177,0.5172,0.4187,91.5397,NonMonster
MM-P2-[,7,201,0.4506,1.0992,90.5643,ModerateMonster
6;,2,123,0.7121,0.5233,87.5909,NonMonster
-[1,3,292,0.2987,0.3779,87.2078,NonMonster
MM-P,4,205,0.4252,1.0994,87.1694,ModerateMonster
3;,2,175,0.4915,0.5324,86.0183,NonMonster
-[2,3,177,0.4844,0.4187,85.7337,NonMonster
0;0;,4,120,0.7121,0.4485,85.4545,NonMonster
;2,2,130,0.6455,0.5270,83.9091,NonMonster
[2,2,177,0.4599,0.4187,81.4005,NonMonster
10,2,166,0.4881,0.8493,81.0238,ModerateMonster
;1;,3,177,0.4416,0.2256,78.1558,NonMonster
;1;0,4,139,0.5395,0.0000,74.9908,NonMonster
1;0],4,147,0.4832,0.0000,71.0264,NonMonster
4;,2,121,0.5839,0.4911,70.6538,NonMonster
;1;0],5,139,0.5047,0.0000,70.1561,NonMonster
[0;0,4,113,0.6193,0.4113,69.9853,NonMonster
[0;0;,5,113,0.6137,0.4113,69.3428,NonMonster
MM-,3,205,0.3336,1.0994,68.3925,ModerateMonster
-[0;0,5,113,0.6021,0.4113,68.0416,NonMonster
-[0;0;,6,113,0.6003,0.4113,67.8301,NonMonster
8;,2,107,0.6169,0.5426,66.0065,NonMonster
0;1,3,124,0.5224,0.9219,64.7734,ModerateMonster
P2-[0;0,7,101,0.6301,0.4038,63.6399,NonMonster
P2-[0;0;,8,101,0.6252,0.4038,63.1452,NonMonster
2-[0;0,6,101,0.6184,0.4038,62.4633,NonMonster
-P2-[0;0,8,101,0.6180,0.4038,62.4183,NonMonster
2-[0;0;,7,101,0.6145,0.4038,62.0659,NonMonster
[0;,3,113,0.5480,0.4113,61.9249,NonMonster
2;0,3,87,0.7081,0.0913,61.6030,NonMonster
-[0;,4,113,0.5443,0.4113,61.5103,NonMonster
;2;,3,97,0.6273,0.5367,60.8455,NonMonster
NM-P2-[2,8,107,0.5663,0.0000,60.5950,NonMonster
P2-[0,5,101,0.5973,0.4038,60.3262,NonMonster
P2-[0;,6,101,0.5962,0.4038,60.2188,NonMonster
LM-P2,5,110,0.5439,0.8988,59.8341,LowMonster
-[0,3,113,0.5288,0.4113,59.7562,NonMonster
LM-P2-,6,110,0.5422,0.8988,59.6395,LowMonster
[0,2,113,0.5266,0.4113,59.5009,NonMonster
-P2-[0;,7,101,0.5872,0.4038,59.3114,NonMonster
-P2-[0,6,101,0.5866,0.4038,59.2496,NonMonster
2-[0;,5,101,0.5755,0.4038,58.1226,NonMonster
2-[0,4,101,0.5716,0.4038,57.7328,NonMonster
12,2,135,0.4214,0.9801,56.8929,HighMonster
LM-P,4,111,0.5049,0.8991,56.0475,LowMonster
M-P2-[0;,8,101,0.5431,0.4038,54.8488,NonMonster
LM-P2-[,7,110,0.4961,0.8988,54.5733,LowMonster
M-P2-[0,7,101,0.5362,0.4038,54.1583,NonMonster
7;,2,121,0.4409,0.4228,53.3500,NonMonster
[1,2,292,0.1813,0.3779,52.9451,NonMonster
;10,3,101,0.5224,0.9737,52.7590,ModerateMonster
9;,2,108,0.4884,0.5032,52.7512,NonMonster
-P2-[3,6,101,0.5131,0.5334,51.8232,NonMonster
P2-[3,5,101,0.5091,0.5334,51.4145,NonMonster
0;0;0,5,68,0.7364,0.0000,50.0727,NonMonster
LM-,3,111,0.4399,0.8991,48.8301,LowMonster
