name,phi_score,classification,dominant_prime,size,address
_ZN91_$LT$tracing_subscriber..registry..sharded..DataInner$u20$as$u20$core..default..Default$GT$7default13NULL_METADATA17ha58972ae8538c436E,1.3370,HighMonster,2,120,228906640
_ZN4jiff3fmt8friendly6parser10SpanParser17parse_suffix_sign17h8fc167860aa70cebE,1.3339,HighMonster,2,728,71521760
_ZN4jiff3fmt8friendly7printer16DesignatorWriter23maybe_write_suffix_sign17h33155d21799660b9E,1.2819,HighMonster,2,91,72033632
_ZN17rustc_driver_impl14describe_lints16sort_lint_groups17hca8852de193b033aE,1.2805,HighMonster,2,232,69636064
_ZN18tracing_subscriber6filter3env5field10ValueMatch15parse_non_regex17hb5ed8b6f0f62c26eE,1.2669,HighMonster,2,161,70988432
_ZN73_$LT$$RF$alloc..string..String$u20$as$u20$core..str..pattern..Pattern$GT$12is_prefix_of17hef1909e852a0f037E,1.2544,HighMonster,2,143,70603824
_ZN55_$LT$$RF$str$u20$as$u20$core..str..pattern..Pattern$GT$12is_prefix_of17h9be21b9e75621fffE,1.2544,HighMonster,2,63,71141856
_ZN4jiff3fmt8friendly6parser10SpanParser17parse_prefix_sign17h24b842386347d9b6E,1.2544,HighMonster,2,287,71521472
_ZN17rustc_driver_impl14handle_explain17h55f4c157236ede32E,1.2522,HighMonster,2,1923,69639216
_ZN17rustc_driver_impl14handle_options3unw17h1c5256d23a140031E,1.2522,HighMonster,2,40,69642928
_ZN17rustc_driver_impl14handle_explain28_$u7b$$u7b$closure$u7d$$u7d$17hfda852e19d4e3562E,1.2522,HighMonster,2,38,70213152
_ZN17rustc_driver_impl10make_input17h2c7b3c7a01879094E,1.2483,HighMonster,2,1789,69623408
_ZN17rustc_driver_impl10report_ice11FIRST_PANIC17h45d24472886fbeadE,1.2483,HighMonster,2,1,236548112
_ZN17rustc_driver_impl11make_output17h87b35194011778c7E,1.2483,HighMonster,2,314,69628496
_ZN17rustc_driver_impl14describe_lints10sort_lints17h097ca1b5ad0e3892E,1.2483,HighMonster,2,172,69635888
_ZN17rustc_driver_impl5usage17hc3a602a1a507e39dE,1.2483,HighMonster,2,1113,69672384
_ZN17rustc_driver_impl8ICE_PATH17h2daad94c63ceab7cE,1.2483,HighMonster,3,32,236548192
_ZN81_$LT$rustc_driver_impl..TimePassesCallbacks$u20$as$u20$core..default..Default$GT$7default17h3412dbc39ccbac84E,1.2483,HighMonster,2,9,69673568
_ZN76_$LT$rustc_driver_impl..args..Expander$u20$as$u20$core..default..Default$GT$7default17he16e3e1d7a0c5ec6E,1.2483,HighMonster,2,80,69792864
_ZN17rustc_driver_impl4args8Expander6finish17h6bc99b9c96426224E,1.2483,HighMonster,2,26,69791296
_ZN17rustc_driver_impl4args8Expander3arg17h59b566ed76c465f1E,1.2483,HighMonster,2,1392,69789440
_ZN17rustc_driver_impl4args8Expander9read_file17hd97d3ec3f5534086E,1.2483,HighMonster,2,79,69791328
_ZN17rustc_driver_impl6pretty5print28_$u7b$$u7b$closure$u7d$$u7d$17h41d64b8e087c4cb0E,1.2483,HighMonster,2,371,69796208
_ZN17rustc_driver_impl6pretty5print28_$u7b$$u7b$closure$u7d$$u7d$17h3abf1387bcc0c234E,1.2483,HighMonster,2,172,69796032
_ZN17rustc_driver_impl6pretty10get_source17hc64a357ac89257bbE,1.2483,HighMonster,2,601,69928512
_ZN17rustc_driver_impl6pretty14write_or_print17h21302716f851fd1aE,1.2483,HighMonster,2,107,69929120
_ZN17rustc_driver_impl12run_compiler28_$u7b$$u7b$closure$u7d$$u7d$28_$u7b$$u7b$closure$u7d$$u7d$17hec5a27431aa5b775E,1.2483,HighMonster,2,40,70207872
