symbol,x,y,z,ngram_count,syn_coverage,monster_density,connections
_ZN91_$LT$tracing_subscriber..registry..sharded..DataInner$u20$as$u20$core..default..Default$GT$7default13NULL_METADATA17ha58972ae8538c436E,0.596,0.038,13.370,60,0.0,0.5414,5
_ZN4jiff3fmt8friendly6parser10SpanParser17parse_suffix_sign17h8fc167860aa70cebE,31.752,1.888,13.339,75,0.0,0.4189,5
_ZN4jiff3fmt8friendly7printer16DesignatorWriter23maybe_write_suffix_sign17h33155d21799660b9E,1.208,0.053,12.819,65,0.0,0.4720,5
_ZN17rustc_driver_impl14describe_lints16sort_lint_groups17hca8852de193b033aE,5.277,0.335,12.805,65,0.0,0.4475,5
_ZN18tracing_subscriber6filter3env5field10ValueMatch15parse_non_regex17hb5ed8b6f0f62c26eE,2.920,0.232,12.669,65,0.0,0.5138,5
_ZN73_$LT$$RF$alloc..string..String$u20$as$u20$core..str..pattern..Pattern$GT$12is_prefix_of17hef1909e852a0f037E,2.334,0.182,12.544,65,0.0,0.5009,5
_ZN55_$LT$$RF$str$u20$as$u20$core..str..pattern..Pattern$GT$12is_prefix_of17h9be21b9e75621fffE,0.711,0.059,12.544,60,0.0,0.4343,5
_ZN4jiff3fmt8friendly6parser10SpanParser17parse_prefix_sign17h24b842386347d9b6E,7.462,0.455,12.544,65,0.0,0.3899,5
_ZN17rustc_driver_impl14handle_explain17h55f4c157236ede32E,125.098,8.776,12.522,80,0.0,0.4406,0
_ZN17rustc_driver_impl14handle_options3unw17h1c5256d23a140031E,0.358,0.034,12.522,60,0.0,0.5157,5
_ZN17rustc_driver_impl14handle_explain28_$u7b$$u7b$closure$u7d$$u7d$17hfda852e19d4e3562E,0.312,0.030,12.522,60,0.0,0.4954,5
_ZN17rustc_driver_impl10make_input17h2c7b3c7a01879094E,114.031,6.872,12.483,80,0.0,0.4775,2
_ZN17rustc_driver_impl10report_ice11FIRST_PANIC17h45d24472886fbeadE,0.000,0.000,12.483,60,0.0,0.5370,5
_ZN17rustc_driver_impl11make_output17h87b35194011778c7E,8.012,0.556,12.483,65,0.0,0.5452,5
_ZN17rustc_driver_impl14describe_lints10sort_lints17h097ca1b5ad0e3892E,3.230,0.239,12.483,65,0.0,0.5009,5
_ZN17rustc_driver_impl5usage17hc3a602a1a507e39dE,52.973,3.741,12.483,75,0.0,0.4379,5
_ZN17rustc_driver_impl8ICE_PATH17h2daad94c63ceab7cE,0.014,0.000,12.483,60,0.0,0.5075,5
