demangled_name,semantic_category,monster_correlation,component_count,top_ngram
_$LT$tracing_subscriber..registry..sharded..DataInner$u20$as$u20$core..default..Default$GT$::default::NULL_METADATA::ha58972ae8538c436,utility,0.4688,4,..
jiff::fmt::friendly::parser::SpanParser::parse_suffix_sign::h8fc167860aa70ceb,parser,0.5242,7,::
jiff::fmt::friendly::printer::DesignatorWriter::maybe_write_suffix_sign::h33155d21799660b9,utility,0.5434,7,ri
rustc_driver_impl::describe_lints::sort_lint_groups::hca8852de193b033a,compiler_driver,0.4791,4,de
tracing_subscriber::filter::env::field::ValueMatch::parse_non_regex::hb5ed8b6f0f62c26e,parser,0.5070,7,::
_$LT$$RF$alloc..string..String$u20$as$u20$core..str..pattern..Pattern$GT$::is_prefix_of::hef1909e852a0f037,memory_management,0.5295,3,..
_$LT$$RF$str$u20$as$u20$core..str..pattern..Pattern$GT$::is_prefix_of::h9be21b9e75621fff,utility,0.5418,3,..
jiff::fmt::friendly::parser::SpanParser::parse_prefix_sign::h24b842386347d9b6,parser,0.5391,7,rs
rustc_driver_impl::handle_explain::h55f4c157236ede32,compiler_driver,0.4754,3,pl
rustc_driver_impl::handle_options::unw::h1c5256d23a140031,compiler_driver,0.4774,4,::
rustc_driver_impl::handle_explain::_$u7b$$u7b$closure$u7d$$u7d$::hfda852e19d4e3562,compiler_driver,0.5047,4,u7
rustc_driver_impl::make_input::h2c7b3c7a01879094,compiler_driver,0.4387,3,c7
rustc_driver_impl::report_ice::FIRST_PANIC::h45d24472886fbead,compiler_driver,0.4839,4,_i
rustc_driver_impl::make_output::h87b35194011778c7,compiler_driver,0.4018,3,ut
rustc_driver_impl::describe_lints::sort_lints::h097ca1b5ad0e3892,compiler_driver,0.4905,4,nts
rustc_driver_impl::usage::hc3a602a1a507e39d,compiler_driver,0.3476,3,us
rustc_driver_impl::ICE_PATH::h2daad94c63ceab7c,compiler_driver,0.4563,3,h2
_$LT$rustc_driver_impl..TimePassesCallbacks$u20$as$u20$core..default..Default$GT$::default::h3412dbc39ccbac84,compiler_driver,0.4851,3,fa
_$LT$rustc_driver_impl..args..Expander$u20$as$u20$core..default..Default$GT$::default::he16e3e1d7a0c5ec6,compiler_driver,0.4509,3,..
rustc_driver_impl::args::Expander::finish::h6bc99b9c96426224,compiler_driver,0.5190,5,c9
rustc_driver_impl::args::Expander::arg::h59b566ed76c465f1,compiler_driver,0.4276,5,rg
rustc_driver_impl::args::Expander::read_file::hd97d3ec3f5534086,compiler_driver,0.4627,5,::
rustc_driver_impl::pretty::print::_$u7b$$u7b$closure$u7d$$u7d$::h41d64b8e087c4cb0,compiler_driver,0.5567,5,$u
rustc_driver_impl::pretty::print::_$u7b$$u7b$closure$u7d$$u7d$::h3abf1387bcc0c234,compiler_driver,0.5453,5,u7
rustc_driver_impl::pretty::get_source::hc64a357ac89257bb,compiler_driver,0.4222,4,et
rustc_driver_impl::pretty::write_or_print::h21302716f851fd1a,compiler_driver,0.4964,4,ri
rustc_driver_impl::run_compiler::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::hec5a27431aa5b775,compiler_driver,0.4816,5,$u7
rustc_driver_impl::run_compiler::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::h30109e64a399165b,compiler_driver,0.5166,5,$u
rustc_driver_impl::run_compiler::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::_$u7b$$u7b$closure$u7d$$u7d$::hef4a494cf3c55a0b,compiler_driver,0.5219,6,u7
rustc_driver_impl::describe_lints::_$u7b$$u7b$closure$u7d$$u7d$::h9cbc001fa25473d4,compiler_driver,0.5166,4,$u
rustc_driver_impl::describe_lints::_$u7b$$u7b$closure$u7d$$u7d$::hceeff1c5d3369b6f,compiler_driver,0.5172,4,$u
rustc_driver_impl::usage::_$u7b$$u7b$closure$u7d$$u7d$::hc98d17dbe27e291c,compiler_driver,0.4087,4,$u7
rustc_driver_impl::signal_handler::backtrace_stderr::hed16e73d970b4f40,compiler_driver,0.4771,4,er
jiff::fmt::temporal::printer::DateTimePrinter::print_zulu_buf::h9c348bf945805402,utility,0.5528,7,te
jiff::fmt::temporal::printer::DateTimePrinter::print_zulu_wtr::h515622846c253358,utility,0.5370,7,te
jiff::signed_duration::SignedDuration::try_from_millis_i128::h2d80cab9d3b1f8ec,utility,0.5364,5,ned
jiff::fmt::friendly::printer::FractionalPrinter::has_non_zero_fixed_precision::hc079641cf7e28576,utility,0.5729,7,on
rustc_driver_impl::run_compiler::_$u7b$$u7b$closure$u7d$$u7d$::__CALLSITE::META::hdad3cfaf039e963b,compiler_driver,0.4807,6,$u7
rustc_driver_impl::pretty::print::__CALLSITE::META::hdbea5b64a4514db5,compiler_driver,0.4773,6,::
rustc_driver_impl::pretty::print::__CALLSITE::META::h0fc16022bf0afcaf,compiler_driver,0.5149,6,::
rustc_driver_impl::pretty::print::__CALLSITE::META::h6c182320991ca160,compiler_driver,0.4940,6,::
rustc_driver_impl::pretty::print::__CALLSITE::META::h08d73cb47e03ea49,compiler_driver,0.4861,6,::
rustc_driver_impl::pretty::print::__CALLSITE::META::haacd606a6ff44d56,compiler_driver,0.5053,6,::
rustc_driver_impl::pretty::print::__CALLSITE::META::h4d28e2e76aa0c73b,compiler_driver,0.4866,6,::
rustc_driver_impl::pretty::print::__CALLSITE::META::hf4de87750bdb0008,compiler_driver,0.5093,6,::
jiff::fmt::friendly::printer::FractionalPrinter::has_zero_fixed_precision::h1cdaa585f9275b2a,utility,0.5548,7,::
jiff::fmt::friendly::printer::DesignatorWriter::maybe_write_prefix_sign::h7b550a9390abf4e5,utility,0.5338,7,ri
std::io::error::repr_bitpacked::kind_from_prim::hd4372d09aa60d289,error_system,0.5195,6,::
core::ptr::const_ptr::_$LT$impl$u20$$BP$const$u20$T$GT$::offset_from_unsigned::precondition_check::h56a6d942e9f44d55,implementation,0.5275,7,on
core::ptr::const_ptr::_$LT$impl$u20$$BP$const$u20$T$GT$::offset_from_unsigned::precondition_check::h5384d106f8d2863e,implementation,0.5419,7,co
std::io::error::repr_bitpacked::kind_from_prim::ha4c317204b57531e,error_system,0.4878,6,::
std::io::error::repr_bitpacked::kind_from_prim::ha44cf6752ec369bb,error_system,0.5093,6,::
core::ptr::const_ptr::_$LT$impl$u20$$BP$const$u20$T$GT$::offset_from_unsigned::precondition_check::hbb3c632091330a4b,implementation,0.5359,7,co
jiff::shared::posix::Parser::parse_hour_posix::h77fb04da3c74052d,parser,0.5299,6,ar
jiff::shared::posix::Parser::parse_hour_ianav3plus::ha4fcd6e75f8a3047,parser,0.5161,6,ar
core::ptr::swap_nonoverlapping_bytes::hb08637b24be995aa,utility,0.4931,4,ap
core::ptr::swap_nonoverlapping_bytes::swap_nonoverlapping_short::ha2cae6dd495111c8,utility,0.4732,5,no
core::ptr::swap_nonoverlapping_bytes::swap_nonoverlapping_short::hd0455da169df1201,utility,0.4939,5,no
rustc_driver_impl::print_wall_help::h8273d3789145978a,compiler_driver,0.4895,3,78
jiff::signed_duration::SignedDuration::try_from_micros_i128::h32a165318de6e2c4,utility,0.5102,5,ned
jiff::fmt::friendly::printer::DesignatorWriter::maybe_write_zero::h5abac2d052015259,utility,0.5230,7,ri
jiff::fmt::friendly::printer::DesignatorWriter::maybe_write_zero::imp::hd87804a96f6c10f6,utility,0.5395,8,ri
jiff::fmt::friendly::printer::FractionalPrinter::must_write_digits::h65520d1cff1127f6,utility,0.5685,7,ri
jiff::fmt::friendly::printer::FractionalPrinter::will_write_digits::h026068d9a18d4428,utility,0.5907,7,ri
jiff::fmt::util::DurationUnits::get_unit_value::h13a69ff0481572ec,utility,0.5311,6,::
jiff::fmt::util::DurationUnits::get_unit_value::general::h59d703c62137100e,utility,0.5076,7,::
jiff::fmt::util::duration_unit_value::h7a4209274313811e,utility,0.5429,5,ti
jiff::fmt::friendly::parser::SpanParser::parse_unit_value::hc579f73b4b51884e,parser,0.5038,7,pa
jiff::fmt::friendly::parser::SpanParser::parse_unit_designator::hca6f01695e70b581,parser,0.5096,7,ars
jiff::shared::posix::Parser::parse_posix_datetime::h0c0ee77466befeba,parser,0.5063,6,ar
jiff::shared::posix::Parser::parse_posix_dst::h96d9642bd0074339,parser,0.5393,6,ar
jiff::shared::posix::Parser::parse_posix_offset::hc38c6e61ac2c8ee3,parser,0.5095,6,ar
jiff::shared::posix::Parser::parse_posix_date::h62745d1f068619a5,parser,0.5165,6,ar
jiff::shared::posix::Parser::parse_posix_time::h74dcd7f3547fa9f6,parser,0.5193,6,ar
jiff::fmt::friendly::parser::SpanParser::parse_optional_whitespace::h476021dc93621ef9,parser,0.5159,7,pa
jiff::fmt::friendly::parser::SpanParser::parse_optional_comma::h4a45ba88b586c778,parser,0.5008,7,rse
jiff::shared::posix::Parser::parse_optional_sign::ha0eff0ecb5fcbace,parser,0.5122,6,ar
jiff::fmt::strtime::parse::parse_optional_sign::hb60413fed4dcc1eb,parser,0.4883,6,::
