traversal_type,order,function_name,lattice_position,connections
BFS,0,_ZN17rustc_driver_impl14describe_lints28_$u7b$$u7b$closure$u7d$$u7d$17h9cbc001fa25473d4E,BFS_L0,5
BFS,1,_ZN17rustc_driver_impl6pretty10get_source17hc64a357ac89257bbE,BFS_L0,5
BFS,2,_ZN17rustc_driver_impl6pretty14write_or_print17h21302716f851fd1aE,BFS_L0,5
BFS,3,_ZN17rustc_driver_impl17parse_crate_attrs17h217b7d38e290cad0E,BFS_L0,5
BFS,4,_ZN17rustc_driver_impl14describe_lints10sort_lints17h097ca1b5ad0e3892E,BFS_L0,5
BFS,5,_ZN17rustc_driver_impl6pretty5print10__CALLSITE4META17h4d28e2e76aa0c73bE,BFS_L0,5
BFS,6,_ZN17rustc_driver_impl5usage28_$u7b$$u7b$closure$u7d$$u7d$17hc98d17dbe27e291cE,BFS_L0,5
BFS,7,_ZN17rustc_driver_impl4args8Expander3arg17h59b566ed76c465f1E,BFS_L0,4
BFS,8,_ZN17rustc_driver_impl26show_md_content_with_pager17h6611f8c74e9aa51aE,BFS_L0,0
BFS,9,_ZN17rustc_driver_impl20ice_path_with_config10__CALLSITE4META17h0d76737c873e9ccaE,BFS_L0,5
BFS,10,_ZN17rustc_driver_impl5usage17hc3a602a1a507e39dE,BFS_L0,5
BFS,11,_ZN81_$LT$rustc_driver_impl..TimePassesCallbacks$u20$as$u20$core..default..Default$GT$7default17h3412dbc39ccbac84E,BFS_L0,5
BFS,12,_ZN17rustc_driver_impl8ICE_PATH17h2daad94c63ceab7cE,BFS_L0,5
BFS,13,_ZN17rustc_driver_impl20ice_path_with_config28_$u7b$$u7b$closure$u7d$$u7d$10__CALLSITE4META17hca08a18d60ba3c87E,BFS_L0,5
BFS,14,_ZN17rustc_driver_impl14handle_options3unw17h1c5256d23a140031E,BFS_L0,5
BFS,15,_ZN17rustc_driver_impl14handle_explain17h55f4c157236ede32E,BFS_L0,0
BFS,16,_ZN17rustc_driver_impl12run_compiler28_$u7b$$u7b$closure$u7d$$u7d$10__CALLSITE4META17hdad3cfaf039e963bE,BFS_L0,5
BFS,17,_ZN17rustc_driver_impl11make_output17h87b35194011778c7E,BFS_L0,5
BFS,18,_ZN17rustc_driver_impl14describe_lints28_$u7b$$u7b$closure$u7d$$u7d$17hceeff1c5d3369b6fE,BFS_L0,5
BFS,19,_ZN76_$LT$rustc_driver_impl..args..Expander$u20$as$u20$core..default..Default$GT$7default17he16e3e1d7a0c5ec6E,BFS_L0,5
